date,link,text
2018-05-11 16:57,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6586462375.html,Controls/ Instrumentation Engineer
2018-05-11 15:05,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6586339583.html,Architectural Metal Cost Estimator
2018-05-11 14:42,https://newyork.craigslist.org/mnh/egr/d/project-architect-needed/6586313029.html,Project Architect Needed - Design Build Firm
2018-05-11 13:38,https://newyork.craigslist.org/brk/egr/d/draftperson-project-designer/6586235035.html,Draftperson / Project Designer Wanted
2018-05-11 12:25,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6586145233.html,ARCHITECT/DRAFTER
2018-05-11 10:36,https://newyork.craigslist.org/que/egr/d/drafter/6586014214.html,Drafter
2018-05-11 10:15,https://newyork.craigslist.org/brk/egr/d/commercial-concrete/6585992320.html,COMMERCIAL CONCRETE CONSTRUCTION PM/ESTIMATOR
2018-05-11 09:15,https://newyork.craigslist.org/mnh/egr/d/summer-intern-position-for/6585936970.html,Summer Intern Position for Large Hospitality Project
2018-05-11 06:01,https://newyork.craigslist.org/mnh/egr/d/architectural-draftsperson/6585862548.html,Architectural Draftsperson
2018-05-10 23:36,https://newyork.craigslist.org/mnh/egr/d/hospitality-architect/6585792937.html,Hospitality Architect Consultant (ACAD)
2018-05-10 17:13,https://newyork.craigslist.org/brk/egr/d/project-architect/6585525488.html,Project Architect
2018-05-10 15:51,https://newyork.craigslist.org/brk/egr/d/expediter-pm/6585440395.html,"Expediter, PM"
2018-05-10 14:38,https://newyork.craigslist.org/brk/egr/d/cad-drafter-submittal/6585359886.html,CAD DRAFTER & SUBMITTAL SPECIALIST
2018-05-10 11:26,https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6585131724.html,"IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES"
2018-05-10 11:23,https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6585127975.html,Architect Project Manager Position
2018-05-10 10:48,https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6585089516.html,Architect/Engineer/Construction Manager
